esp32acc:::SENSE,001,a,42463,2020-12-17T09:49:27.324192000+02:00,116.00,-56.00,-4140.00:::00:00:01.352354
esp32mag:::SENSE,001,m,42462,2020-12-17T09:49:27.322709000+02:00,411.00,270.00,-309.00:::00:00:01.364323
esp32acc:::SENSE,001,a,42464,2020-12-17T09:49:27.343695000+02:00,124.00,-56.00,-4152.00:::00:00:01.376284
esp32mag:::SENSE,001,m,42465,2020-12-17T09:49:27.352302000+02:00,411.00,270.00,-309.00:::00:00:01.388253
esp32acc:::SENSE,001,a,42466,2020-12-17T09:49:27.363474000+02:00,112.00,-56.00,-4132.00:::00:00:01.388570
esp32acc:::SENSE,001,a,42468,2020-12-17T09:49:27.383649000+02:00,116.00,-52.00,-4144.00:::00:00:01.388570
esp32mag:::SENSE,001,m,42467,2020-12-17T09:49:27.382736000+02:00,417.00,276.00,-309.00:::00:00:01.394236
esp32acc:::SENSE,001,a,42469,2020-12-17T09:49:27.403691000+02:00,112.00,-52.00,-4140.00:::00:00:01.418169
esp32mag:::SENSE,001,m,42470,2020-12-17T09:49:27.412306000+02:00,417.00,276.00,-309.00:::00:00:01.443104
esp32acc:::SENSE,001,a,42471,2020-12-17T09:49:27.424154000+02:00,116.00,-48.00,-4140.00:::00:00:01.443104
esp32acc:::SENSE,001,a,42473,2020-12-17T09:49:27.443898000+02:00,128.00,-56.00,-4136.00:::00:00:01.444101
esp32mag:::SENSE,001,m,42472,2020-12-17T09:49:27.442714000+02:00,423.00,270.00,-302.00:::00:00:01.444101
esp32acc:::SENSE,001,a,42474,2020-12-17T09:49:27.463690000+02:00,112.00,-52.00,-4140.00:::00:00:01.444101
esp32mag:::SENSE,001,m,42475,2020-12-17T09:49:27.472310000+02:00,411.00,282.00,-290.00:::00:00:01.453076
esp32acc:::SENSE,001,a,42476,2020-12-17T09:49:27.483608000+02:00,116.00,-52.00,-4136.00:::00:00:01.477013
esp32acc:::SENSE,001,a,42478,2020-12-17T09:49:27.503826000+02:00,116.00,-56.00,-4132.00:::00:00:01.500948
esp32mag:::SENSE,001,m,42477,2020-12-17T09:49:27.502650000+02:00,411.00,282.00,-290.00:::00:00:01.524885
esp32acc:::SENSE,001,a,42479,2020-12-17T09:49:27.523699000+02:00,112.00,-56.00,-4132.00:::00:00:01.551812
esp32mag:::SENSE,001,m,42480,2020-12-17T09:49:27.532313000+02:00,417.00,252.00,-302.00:::00:00:01.569780
esp32acc:::SENSE,001,a,42481,2020-12-17T09:49:27.543588000+02:00,108.00,-64.00,-4148.00:::00:00:01.570762
esp32acc:::SENSE,001,a,42483,2020-12-17T09:49:27.563787000+02:00,112.00,-56.00,-4148.00:::00:00:01.578740
esp32mag:::SENSE,001,m,42482,2020-12-17T09:49:27.562662000+02:00,417.00,252.00,-302.00:::00:00:01.584725
esp32acc:::SENSE,001,a,42484,2020-12-17T09:49:27.583703000+02:00,120.00,-40.00,-4148.00:::00:00:01.585726
esp32mag:::SENSE,001,m,42485,2020-12-17T09:49:27.592317000+02:00,411.00,276.00,-284.00:::00:00:01.592706
esp32acc:::SENSE,001,a,42486,2020-12-17T09:49:27.603576000+02:00,116.00,-60.00,-4140.00:::00:00:01.598687
esp32acc:::SENSE,001,a,42488,2020-12-17T09:49:27.623791000+02:00,112.00,-52.00,-4140.00:::00:00:01.610656
esp32mag:::SENSE,001,m,42487,2020-12-17T09:49:27.622658000+02:00,405.00,264.00,-283.00:::00:00:01.616638
esp32acc:::SENSE,001,a,42489,2020-12-17T09:49:27.644219000+02:00,116.00,-52.00,-4152.00:::00:00:01.634592
esp32mag:::SENSE,001,m,42490,2020-12-17T09:49:27.652437000+02:00,405.00,264.00,-283.00:::00:00:01.640574
esp32acc:::SENSE,001,a,42491,2020-12-17T09:49:27.663480000+02:00,120.00,-60.00,-4132.00:::00:00:01.646564
esp32acc:::SENSE,001,a,42493,2020-12-17T09:49:27.684403000+02:00,108.00,-60.00,-4144.00:::00:00:01.652541
esp32mag:::SENSE,001,m,42492,2020-12-17T09:49:27.682730000+02:00,411.00,276.00,-315.00:::00:00:01.657572
esp32acc:::SENSE,001,a,42494,2020-12-17T09:49:27.703695000+02:00,112.00,-56.00,-4140.00:::00:00:01.663556
esp32mag:::SENSE,001,m,42495,2020-12-17T09:49:27.712317000+02:00,417.00,258.00,-296.00:::00:00:01.669497
esp32acc:::SENSE,001,a,42496,2020-12-17T09:49:27.723522000+02:00,116.00,-44.00,-4136.00:::00:00:01.674498
esp32acc:::SENSE,001,a,42498,2020-12-17T09:49:27.743809000+02:00,112.00,-52.00,-4148.00:::00:00:01.679512
esp32mag:::SENSE,001,m,42497,2020-12-17T09:49:27.742658000+02:00,417.00,258.00,-296.00:::00:00:01.685459
esp32acc:::SENSE,001,a,42499,2020-12-17T09:49:27.763691000+02:00,116.00,-56.00,-4144.00:::00:00:01.686453
esp32mag:::SENSE,001,m,42500,2020-12-17T09:49:27.772317000+02:00,411.00,264.00,-309.00:::00:00:01.691487
